"parcel","variable","mean","std","median","iqr","mean_abs","std_abs","median_abs","iqr_abs","n_subjects"
"LH_ContA_Cingm_1","cortical_surface_area",0.65512,0.08923,0.67327,0.05906,0.65512,0.08923,0.67327,0.05906,48
"LH_ContA_Cingm_1","cortical_thickness",1.95679,0.33944,1.96528,0.42673,1.95679,0.33944,1.96528,0.42673,48
"LH_ContA_Cingm_1","csf_thickness",38.96378,1.40276,39.05076,2.15567,38.96378,1.40276,39.05076,2.15567,48
"LH_ContA_Cingm_1","pial_lgi",1.65877,0.21165,1.72696,0.17379,1.65877,0.21165,1.72696,0.17379,48
"LH_ContA_Cingm_1","skin_thickness",7.30043,1.60693,7.17563,1.63316,7.30043,1.60693,7.17563,1.63316,48
"LH_ContA_Cingm_1","skull_thickness",8.50886,1.81617,8.13152,1.77956,8.50886,1.81617,8.13152,1.77956,48
"LH_ContA_Cingm_1","sulcal_depth",0.33874,0.71391,0.43627,0.96138,0.66538,0.41797,0.60675,0.54364,48
"LH_ContA_IPS_1","cortical_surface_area",0.75085,0.02258,0.74748,0.02912,0.75085,0.02258,0.74748,0.02912,48
"LH_ContA_IPS_1","cortical_thickness",2.57451,0.14737,2.56187,0.17842,2.57451,0.14737,2.56187,0.17842,48
"LH_ContA_IPS_1","csf_thickness",10.85719,1.39702,10.80371,1.4785,10.85719,1.39702,10.80371,1.4785,48
"LH_ContA_IPS_1","pial_lgi",2.9531,0.15891,2.93322,0.18823,2.9531,0.15891,2.93322,0.18823,48
"LH_ContA_IPS_1","skin_thickness",8.18826,1.64866,8.09866,2.28678,8.18826,1.64866,8.09866,2.28678,48
"LH_ContA_IPS_1","skull_thickness",7.80513,1.8186,7.67596,2.31117,7.80513,1.8186,7.67596,2.31117,48
"LH_ContA_IPS_1","sulcal_depth",0.84142,0.91501,0.96838,0.8968,1.02913,0.69185,0.99154,0.77456,48
"LH_ContA_IPS_2","cortical_surface_area",0.74999,0.02317,0.74886,0.02796,0.74999,0.02317,0.74886,0.02796,48
"LH_ContA_IPS_2","cortical_thickness",2.49326,0.14087,2.52222,0.12701,2.49326,0.14087,2.52222,0.12701,48
"LH_ContA_IPS_2","csf_thickness",15.98996,2.80819,15.95904,4.25369,15.98996,2.80819,15.95904,4.25369,48
"LH_ContA_IPS_2","pial_lgi",2.9355,0.16542,2.92311,0.16666,2.9355,0.16542,2.92311,0.16666,48
