"parcel","variable","mean","std","median","iqr","mean_abs","std_abs","median_abs","iqr_abs","n_subjects"
"LH_ContA_Cingm_1","cortical_surface_area",0.67628,0.04532,0.67408,0.04486,0.67628,0.04532,0.67408,0.04486,25
"LH_ContA_Cingm_1","cortical_thickness",1.67713,0.30288,1.71383,0.33501,1.67713,0.30288,1.71383,0.33501,25
"LH_ContA_Cingm_1","csf_thickness",38.85558,2.58667,39.17574,2.65298,38.85558,2.58667,39.17574,2.65298,25
"LH_ContA_Cingm_1","pial_lgi",1.80026,0.08323,1.79172,0.10876,1.80026,0.08323,1.79172,0.10876,25
"LH_ContA_Cingm_1","skin_thickness",5.96898,1.78144,6.25947,1.51335,5.96898,1.78144,6.25947,1.51335,25
"LH_ContA_Cingm_1","skull_thickness",11.72728,6.29411,8.94781,5.95252,11.72728,6.29411,8.94781,5.95252,25
"LH_ContA_Cingm_1","sulcal_depth",0.05289,0.92475,0.13256,1.42586,0.78327,0.46798,0.81818,0.76197,25
"LH_ContA_IPS_1","cortical_surface_area",0.7487,0.0222,0.74436,0.02649,0.7487,0.0222,0.74436,0.02649,25
"LH_ContA_IPS_1","cortical_thickness",2.44644,0.146,2.42308,0.19372,2.44644,0.146,2.42308,0.19372,25
"LH_ContA_IPS_1","csf_thickness",10.96974,2.40729,11.13183,2.3813,10.96974,2.40729,11.13183,2.3813,25
"LH_ContA_IPS_1","pial_lgi",2.93206,0.14611,2.92586,0.22811,2.93206,0.14611,2.92586,0.22811,25
"LH_ContA_IPS_1","skin_thickness",7.93532,1.52986,7.52585,1.98567,7.93532,1.52986,7.52585,1.98567,25
"LH_ContA_IPS_1","skull_thickness",6.99911,1.15831,6.90016,1.68387,6.99911,1.15831,6.90016,1.68387,25
"LH_ContA_IPS_1","sulcal_depth",0.78794,1.50318,0.48758,1.1905,1.15694,1.22963,0.74792,1.34458,25
"LH_ContA_IPS_2","cortical_surface_area",0.7546,0.02086,0.74815,0.02879,0.7546,0.02086,0.74815,0.02879,25
"LH_ContA_IPS_2","cortical_thickness",2.34416,0.13727,2.3936,0.13418,2.34416,0.13727,2.3936,0.13418,25
"LH_ContA_IPS_2","csf_thickness",15.82676,3.6125,16.40862,4.6089,15.82676,3.6125,16.40862,4.6089,25
"LH_ContA_IPS_2","pial_lgi",2.89226,0.15192,2.88832,0.17423,2.89226,0.15192,2.88832,0.17423,25
"LH_ContA_IPS_2","skin_thickness",8.38707,1.60396,7.90341,2.05028,8.38707,1.60396,7.90341,2.05028,25
"LH_ContA_IPS_2","skull_thickness",7.36328,1.38754,7.46653,1.85366,7.36328,1.38754,7.46653,1.85366,25
"LH_ContA_IPS_2","sulcal_depth",5.17874,2.49371,6.02784,3.2519,5.19095,2.46713,6.02784,3.2519,25
"LH_ContA_IPS_3","cortical_surface_area",0.72524,0.04091,0.71404,0.03452,0.72524,0.04091,0.71404,0.03452,25
"LH_ContA_IPS_3","cortical_thickness",2.37704,0.16414,2.34047,0.2112,2.37704,0.16414,2.34047,0.2112,25
"LH_ContA_IPS_3","csf_thickness",8.6957,2.29347,8.08022,3.07021,8.6957,2.29347,8.08022,3.07021,25
"LH_ContA_IPS_3","pial_lgi",3.09035,0.13271,3.08552,0.14953,3.09035,0.13271,3.08552,0.14953,25
"LH_ContA_IPS_3","skin_thickness",8.23638,1.47395,8.14012,2.27989,8.23638,1.47395,8.14012,2.27989,25
