"parcel","variable","mean","std","median","iqr","mean_abs","std_abs","median_abs","iqr_abs","n_subjects"
"LH_ContA_Cingm_1","cortical_surface_area",0.67007,0.05524,0.67467,0.04979,0.67007,0.05524,0.67467,0.04979,258
"LH_ContA_Cingm_1","cortical_thickness",1.72575,0.3276,1.74406,0.40685,1.72575,0.3276,1.74406,0.40685,258
"LH_ContA_Cingm_1","csf_thickness",39.95537,2.02813,40.08196,2.30461,39.95537,2.02813,40.08196,2.30461,258
"LH_ContA_Cingm_1","pial_lgi",1.75325,0.16308,1.78251,0.14036,1.75325,0.16308,1.78251,0.14036,258
"LH_ContA_Cingm_1","skin_thickness",6.13402,1.54205,6.17328,1.65719,6.13402,1.54205,6.17328,1.65719,258
"LH_ContA_Cingm_1","skull_thickness",9.94662,3.72876,9.12213,1.999,9.94662,3.72876,9.12213,1.999,258
"LH_ContA_Cingm_1","sulcal_depth",0.05538,0.75334,0.12737,1.03974,0.61444,0.43772,0.53776,0.60698,258
"LH_ContA_IPS_1","cortical_surface_area",0.75116,0.02597,0.74876,0.03216,0.75116,0.02597,0.74876,0.03216,258
"LH_ContA_IPS_1","cortical_thickness",2.47908,0.18059,2.47769,0.22738,2.47908,0.18059,2.47769,0.22738,258
"LH_ContA_IPS_1","csf_thickness",10.61302,1.88272,10.7693,2.46697,10.61302,1.88272,10.7693,2.46697,258
"LH_ContA_IPS_1","pial_lgi",2.93393,0.15294,2.93223,0.19798,2.93393,0.15294,2.93223,0.19798,258
"LH_ContA_IPS_1","skin_thickness",8.0553,1.42502,7.962,1.95233,8.0553,1.42502,7.962,1.95233,258
"LH_ContA_IPS_1","skull_thickness",7.01298,1.19645,6.92589,1.66087,7.01298,1.19645,6.92589,1.66087,258
"LH_ContA_IPS_1","sulcal_depth",0.5186,1.15919,0.55368,1.20231,0.96875,0.81951,0.77348,0.88197,258
"LH_ContA_IPS_2","cortical_surface_area",0.75255,0.0243,0.75022,0.03038,0.75255,0.0243,0.75022,0.03038,258
"LH_ContA_IPS_2","cortical_thickness",2.39225,0.17039,2.39545,0.20786,2.39225,0.17039,2.39545,0.20786,258
"LH_ContA_IPS_2","csf_thickness",15.5569,3.39723,15.5377,4.9344,15.5569,3.39723,15.5377,4.9344,258
"LH_ContA_IPS_2","pial_lgi",2.91594,0.16356,2.91755,0.20067,2.91594,0.16356,2.91755,0.20067,258
"LH_ContA_IPS_2","skin_thickness",8.44865,1.51644,8.33304,1.99662,8.44865,1.51644,8.33304,1.99662,258
"LH_ContA_IPS_2","skull_thickness",7.37349,1.29198,7.31151,1.8336,7.37349,1.29198,7.31151,1.8336,258
"LH_ContA_IPS_2","sulcal_depth",5.08182,2.49783,5.17012,3.45068,5.16943,2.31032,5.17012,3.41402,258
"LH_ContA_IPS_3","cortical_surface_area",0.72665,0.03094,0.72591,0.04007,0.72665,0.03094,0.72591,0.04007,258
"LH_ContA_IPS_3","cortical_thickness",2.48428,0.19861,2.48233,0.25098,2.48428,0.19861,2.48233,0.25098,258
"LH_ContA_IPS_3","csf_thickness",7.86955,2.13668,7.58842,2.99099,7.86955,2.13668,7.58842,2.99099,258
"LH_ContA_IPS_3","pial_lgi",3.15409,0.1504,3.14744,0.19532,3.15409,0.1504,3.14744,0.19532,258
"LH_ContA_IPS_3","skin_thickness",8.38263,1.41971,8.2453,2.14998,8.38263,1.41971,8.2453,2.14998,258
"LH_ContA_IPS_3","skull_thickness",6.35917,1.27077,6.20665,1.65821,6.35917,1.27077,6.20665,1.65821,258
"LH_ContA_IPS_3","sulcal_depth",-3.16778,1.65329,-3.33892,2.19983,3.26016,1.46193,3.36128,2.17577,258
"LH_ContA_IPS_4","cortical_surface_area",0.73852,0.01993,0.73801,0.02543,0.73852,0.01993,0.73801,0.02543,258
"LH_ContA_IPS_4","cortical_thickness",2.37045,0.17289,2.36941,0.23257,2.37045,0.17289,2.36941,0.23257,258
"LH_ContA_IPS_4","csf_thickness",12.365,2.513,12.20988,3.59221,12.365,2.513,12.20988,3.59221,258
"LH_ContA_IPS_4","pial_lgi",3.03614,0.15936,3.04054,0.21688,3.03614,0.15936,3.04054,0.21688,258
"LH_ContA_IPS_4","skin_thickness",8.74874,1.5125,8.57976,2.19706,8.74874,1.5125,8.57976,2.19706,258
"LH_ContA_IPS_4","skull_thickness",7.07117,1.2624,7.03033,1.95294,7.07117,1.2624,7.03033,1.95294,258
"LH_ContA_IPS_4","sulcal_depth",1.4364,1.45194,1.29858,1.91142,1.62691,1.2338,1.33029,1.7846,258
"LH_ContA_IPS_5","cortical_surface_area",0.74581,0.02581,0.74405,0.03541,0.74581,0.02581,0.74405,0.03541,258
"LH_ContA_IPS_5","cortical_thickness",2.36328,0.20427,2.34968,0.25995,2.36328,0.20427,2.34968,0.25995,258
"LH_ContA_IPS_5","csf_thickness",14.149,2.75301,14.20745,3.66492,14.149,2.75301,14.20745,3.66492,258
"LH_ContA_IPS_5","pial_lgi",3.13867,0.15883,3.13857,0.21629,3.13867,0.15883,3.13857,0.21629,258
"LH_ContA_IPS_5","skin_thickness",8.66088,1.46297,8.56782,1.98485,8.66088,1.46297,8.56782,1.98485,258
"LH_ContA_IPS_5","skull_thickness",6.80331,1.32078,6.6607,1.64844,6.80331,1.32078,6.6607,1.64844,258
"LH_ContA_IPS_5","sulcal_depth",2.5173,2.31742,2.75064,2.69458,2.91176,1.79458,2.77641,2.39774,258
"LH_ContA_IPS_6","cortical_surface_area",0.76288,0.02087,0.76234,0.02774,0.76288,0.02087,0.76234,0.02774,258
"LH_ContA_IPS_6","cortical_thickness",2.28008,0.18535,2.28133,0.21731,2.28008,0.18535,2.28133,0.21731,258
"LH_ContA_IPS_6","csf_thickness",20.88919,2.70146,21.27389,3.32724,20.88919,2.70146,21.27389,3.32724,258
"LH_ContA_IPS_6","pial_lgi",3.11538,0.16185,3.11854,0.21026,3.11538,0.16185,3.11854,0.21026,258
"LH_ContA_IPS_6","skin_thickness",8.96655,1.4791,8.87632,2.20816,8.96655,1.4791,8.87632,2.20816,258
"LH_ContA_IPS_6","skull_thickness",7.31584,1.34054,7.22335,1.82099,7.31584,1.34054,7.22335,1.82099,258
"LH_ContA_IPS_6","sulcal_depth",9.18795,1.73968,9.58748,1.52831,9.20303,1.65776,9.58748,1.52831,258
"LH_ContA_IPS_7","cortical_surface_area",0.75113,0.02728,0.75022,0.03624,0.75113,0.02728,0.75022,0.03624,258
"LH_ContA_IPS_7","cortical_thickness",2.30306,0.18834,2.29575,0.2387,2.30306,0.18834,2.29575,0.2387,258
"LH_ContA_IPS_7","csf_thickness",17.74323,3.94135,18.23163,6.35651,17.74323,3.94135,18.23163,6.35651,258
"LH_ContA_IPS_7","pial_lgi",3.14,0.15782,3.13771,0.20806,3.14,0.15782,3.13771,0.20806,258
"LH_ContA_IPS_7","skin_thickness",8.66078,1.43883,8.56282,2.14472,8.66078,1.43883,8.56282,2.14472,258
"LH_ContA_IPS_7","skull_thickness",7.0578,1.38002,6.95909,1.8045,7.0578,1.38002,6.95909,1.8045,258
"LH_ContA_IPS_7","sulcal_depth",5.66911,3.05474,6.01976,4.9421,5.73343,2.93176,6.01976,4.9421,258
"LH_ContA_IPS_8","cortical_surface_area",0.74537,0.02575,0.74515,0.03423,0.74537,0.02575,0.74515,0.03423,258
"LH_ContA_IPS_8","cortical_thickness",2.26718,0.18411,2.24517,0.23167,2.26718,0.18411,2.24517,0.23167,258
"LH_ContA_IPS_8","csf_thickness",14.53127,3.78678,14.53998,5.30159,14.53127,3.78678,14.53998,5.30159,258
"LH_ContA_IPS_8","pial_lgi",2.97203,0.17446,2.9748,0.23485,2.97203,0.17446,2.9748,0.23485,258
"LH_ContA_IPS_8","skin_thickness",9.02998,1.59047,8.96074,2.16511,9.02998,1.59047,8.96074,2.16511,258
"LH_ContA_IPS_8","skull_thickness",7.65203,1.37538,7.5629,2.03765,7.65203,1.37538,7.5629,2.03765,258
"LH_ContA_IPS_8","sulcal_depth",3.59243,2.77262,3.45692,3.79154,3.79022,2.4943,3.45692,3.66468,258
"LH_ContA_PFCd_1","cortical_surface_area",0.70833,0.03238,0.71053,0.04012,0.70833,0.03238,0.71053,0.04012,258
"LH_ContA_PFCd_1","cortical_thickness",2.70208,0.22375,2.68638,0.31155,2.70208,0.22375,2.68638,0.31155,258
"LH_ContA_PFCd_1","csf_thickness",11.04059,2.05152,10.96617,2.41342,11.04059,2.05152,10.96617,2.41342,258
"LH_ContA_PFCd_1","pial_lgi",2.81119,0.16712,2.80696,0.22528,2.81119,0.16712,2.80696,0.22528,258
"LH_ContA_PFCd_1","skin_thickness",6.82685,1.30364,6.75724,2.00927,6.82685,1.30364,6.75724,2.00927,258
"LH_ContA_PFCd_1","skull_thickness",6.82827,1.20587,6.6624,1.64166,6.82827,1.20587,6.6624,1.64166,258
"LH_ContA_PFCd_1","sulcal_depth",-0.22191,0.79598,-0.35727,0.90911,0.62287,0.5418,0.49505,0.51415,258
"LH_ContA_PFCd_2","cortical_surface_area",0.75266,0.0231,0.75429,0.02547,0.75266,0.0231,0.75429,0.02547,258
"LH_ContA_PFCd_2","cortical_thickness",2.53518,0.18377,2.52624,0.24971,2.53518,0.18377,2.52624,0.24971,258
"LH_ContA_PFCd_2","csf_thickness",14.87475,2.66048,15.33384,3.2584,14.87475,2.66048,15.33384,3.2584,258
"LH_ContA_PFCd_2","pial_lgi",2.56322,0.16655,2.5462,0.24517,2.56322,0.16655,2.5462,0.24517,258
"LH_ContA_PFCd_2","skin_thickness",6.73792,1.27863,6.70087,2.00242,6.73792,1.27863,6.70087,2.00242,258
"LH_ContA_PFCd_2","skull_thickness",7.07627,1.07977,6.98662,1.31293,7.07627,1.07977,6.98662,1.31293,258
"LH_ContA_PFCd_2","sulcal_depth",4.58287,1.78721,5.02633,2.34478,4.60163,1.73816,5.02633,2.34478,258
"LH_ContA_PFCl_1","cortical_surface_area",0.7456,0.01966,0.74654,0.02328,0.7456,0.01966,0.74654,0.02328,258
"LH_ContA_PFCl_1","cortical_thickness",2.41735,0.19421,2.42168,0.27044,2.41735,0.19421,2.42168,0.27044,258
"LH_ContA_PFCl_1","csf_thickness",11.51647,2.11952,11.45705,2.73343,11.51647,2.11952,11.45705,2.73343,258
"LH_ContA_PFCl_1","pial_lgi",3.51361,0.23174,3.51162,0.32589,3.51361,0.23174,3.51162,0.32589,258
"LH_ContA_PFCl_1","skin_thickness",7.331,1.70236,7.09967,2.53607,7.331,1.70236,7.09967,2.53607,258
"LH_ContA_PFCl_1","skull_thickness",5.65656,1.09263,5.59119,1.50235,5.65656,1.09263,5.59119,1.50235,258
"LH_ContA_PFCl_1","sulcal_depth",1.44614,1.40891,1.54117,2.17873,1.71321,1.06676,1.59042,1.7213,258
"LH_ContA_PFCl_2","cortical_surface_area",0.72434,0.02311,0.72347,0.03078,0.72434,0.02311,0.72347,0.03078,258
"LH_ContA_PFCl_2","cortical_thickness",2.44669,0.20403,2.4442,0.25605,2.44669,0.20403,2.4442,0.25605,258
"LH_ContA_PFCl_2","csf_thickness",6.81123,1.6852,6.5497,2.18273,6.81123,1.6852,6.5497,2.18273,258
"LH_ContA_PFCl_2","pial_lgi",3.03892,0.19239,3.03129,0.2522,3.03892,0.19239,3.03129,0.2522,258
