"parcel","variable","mean","std","median","iqr","mean_abs","std_abs","median_abs","iqr_abs","n_subjects"
"LH_ContA_Cingm_1","cortical_surface_area",0.68955,0.04054,0.69198,0.05076,0.68955,0.04054,0.69198,0.05076,34
"LH_ContA_Cingm_1","cortical_thickness",1.9591,0.26119,1.87966,0.36962,1.9591,0.26119,1.87966,0.36962,34
"LH_ContA_Cingm_1","csf_thickness",39.97291,1.75175,40.27647,2.08145,39.97291,1.75175,40.27647,2.08145,34
"LH_ContA_Cingm_1","pial_lgi",1.78783,0.08732,1.78978,0.12263,1.78783,0.08732,1.78978,0.12263,34
"LH_ContA_Cingm_1","skin_thickness",6.30384,1.63666,6.23485,1.46044,6.30384,1.63666,6.23485,1.46044,34
"LH_ContA_Cingm_1","skull_thickness",10.02352,2.36178,9.17161,2.39363,10.02352,2.36178,9.17161,2.39363,34
"LH_ContA_Cingm_1","sulcal_depth",0.20557,0.74638,0.36959,1.26886,0.66833,0.37471,0.61393,0.52851,34
"LH_ContA_IPS_1","cortical_surface_area",0.75154,0.02889,0.74672,0.03375,0.75154,0.02889,0.74672,0.03375,34
"LH_ContA_IPS_1","cortical_thickness",2.58533,0.16424,2.55847,0.21877,2.58533,0.16424,2.55847,0.21877,34
"LH_ContA_IPS_1","csf_thickness",10.67773,1.65236,10.67629,1.52382,10.67773,1.65236,10.67629,1.52382,34
"LH_ContA_IPS_1","pial_lgi",2.99077,0.12751,2.97724,0.14855,2.99077,0.12751,2.97724,0.14855,34
"LH_ContA_IPS_1","skin_thickness",8.41972,1.70883,7.99496,2.23481,8.41972,1.70883,7.99496,2.23481,34
"LH_ContA_IPS_1","skull_thickness",7.0906,1.41825,6.98177,2.21112,7.0906,1.41825,6.98177,2.21112,34
"LH_ContA_IPS_1","sulcal_depth",0.40637,0.91954,0.46763,0.96211,0.80759,0.58627,0.66874,1.02328,34
"LH_ContA_IPS_2","cortical_surface_area",0.75314,0.02193,0.75091,0.02842,0.75314,0.02193,0.75091,0.02842,34
"LH_ContA_IPS_2","cortical_thickness",2.48838,0.12688,2.4818,0.19226,2.48838,0.12688,2.4818,0.19226,34
"LH_ContA_IPS_2","csf_thickness",16.0674,3.4254,16.31081,5.6026,16.0674,3.4254,16.31081,5.6026,34
"LH_ContA_IPS_2","pial_lgi",2.99385,0.13842,2.98493,0.17778,2.99385,0.13842,2.98493,0.17778,34
"LH_ContA_IPS_2","skin_thickness",8.89494,1.84768,8.62432,2.21165,8.89494,1.84768,8.62432,2.21165,34
"LH_ContA_IPS_2","skull_thickness",7.39189,1.43643,7.46857,1.87561,7.39189,1.43643,7.46857,1.87561,34
"LH_ContA_IPS_2","sulcal_depth",5.39735,2.49822,5.11842,3.27364,5.43497,2.41272,5.11842,3.27364,34
"LH_ContA_IPS_3","cortical_surface_area",0.72989,0.0299,0.732,0.04521,0.72989,0.0299,0.732,0.04521,34
