"parcel","variable","mean","std","median","iqr","mean_abs","std_abs","median_abs","iqr_abs","n_subjects"
"LH_ContA_Cingm_1","cortical_surface_area",0.64742,0.08724,0.67217,0.04267,0.64742,0.08724,0.67217,0.04267,32
"LH_ContA_Cingm_1","cortical_thickness",1.72809,0.35001,1.7062,0.35693,1.72809,0.35001,1.7062,0.35693,32
"LH_ContA_Cingm_1","csf_thickness",39.14799,1.671,38.8388,2.19376,39.14799,1.671,38.8388,2.19376,32
"LH_ContA_Cingm_1","pial_lgi",1.65088,0.25816,1.69674,0.18059,1.65088,0.25816,1.69674,0.18059,32
"LH_ContA_Cingm_1","skin_thickness",6.32449,1.64333,6.17329,1.0859,6.32449,1.64333,6.17329,1.0859,32
"LH_ContA_Cingm_1","skull_thickness",9.05052,1.35986,8.75507,1.92124,9.05052,1.35986,8.75507,1.92124,32
"LH_ContA_Cingm_1","sulcal_depth",-0.0245,0.50734,-0.02154,0.68829,0.4065,0.2957,0.37656,0.41771,32
"LH_ContA_IPS_1","cortical_surface_area",0.75962,0.03212,0.76118,0.04385,0.75962,0.03212,0.76118,0.04385,32
"LH_ContA_IPS_1","cortical_thickness",2.44864,0.15312,2.43659,0.15466,2.44864,0.15312,2.43659,0.15466,32
"LH_ContA_IPS_1","csf_thickness",10.42399,2.03073,10.70751,1.81082,10.42399,2.03073,10.70751,1.81082,32
"LH_ContA_IPS_1","pial_lgi",2.8579,0.16717,2.83349,0.18625,2.8579,0.16717,2.83349,0.18625,32
"LH_ContA_IPS_1","skin_thickness",6.73913,1.99903,6.38114,1.90641,6.73913,1.99903,6.38114,1.90641,32
"LH_ContA_IPS_1","skull_thickness",7.42951,1.46924,7.53509,1.9776,7.42951,1.46924,7.53509,1.9776,32
"LH_ContA_IPS_1","sulcal_depth",0.42047,1.03523,0.51341,1.06489,0.87212,0.68489,0.8049,1.06686,32
"LH_ContA_IPS_2","cortical_surface_area",0.75301,0.02964,0.75438,0.04719,0.75301,0.02964,0.75438,0.04719,32
"LH_ContA_IPS_2","cortical_thickness",2.3911,0.1799,2.41578,0.285,2.3911,0.1799,2.41578,0.285,32
"LH_ContA_IPS_2","csf_thickness",15.30237,3.54589,16.01987,5.42143,15.30237,3.54589,16.01987,5.42143,32
"LH_ContA_IPS_2","pial_lgi",2.84193,0.1776,2.84765,0.21946,2.84193,0.1776,2.84765,0.21946,32
"LH_ContA_IPS_2","skin_thickness",7.19248,2.08612,6.87459,2.24282,7.19248,2.08612,6.87459,2.24282,32
