"parcel","variable","mean","std","median","iqr","mean_abs","std_abs","median_abs","iqr_abs","n_subjects"
"LH_ContA_Cingm_1","cortical_surface_area",0.65256,0.0884,0.67053,0.05795,0.65256,0.0884,0.67053,0.05795,332
"LH_ContA_Cingm_1","cortical_thickness",1.84207,0.36629,1.83559,0.45204,1.84207,0.36629,1.83559,0.45204,332
"LH_ContA_Cingm_1","csf_thickness",39.09729,1.94491,39.09101,2.51607,39.09729,1.94491,39.09101,2.51607,332
"LH_ContA_Cingm_1","pial_lgi",1.66178,0.22749,1.71579,0.17594,1.66178,0.22749,1.71579,0.17594,332
"LH_ContA_Cingm_1","skin_thickness",6.63708,1.59485,6.53049,1.87593,6.63708,1.59485,6.53049,1.87593,332
"LH_ContA_Cingm_1","skull_thickness",8.7611,1.89531,8.56994,2.16939,8.7611,1.89531,8.56994,2.16939,332
"LH_ContA_Cingm_1","sulcal_depth",0.15424,0.65206,0.17834,0.98545,0.55316,0.37699,0.53419,0.55333,332
"LH_ContA_IPS_1","cortical_surface_area",0.75092,0.02869,0.74923,0.03358,0.75092,0.02869,0.74923,0.03358,332
"LH_ContA_IPS_1","cortical_thickness",2.50618,0.18466,2.50263,0.24262,2.50618,0.18466,2.50263,0.24262,332
"LH_ContA_IPS_1","csf_thickness",10.76731,1.76766,10.81582,1.94822,10.76731,1.76766,10.81582,1.94822,332
"LH_ContA_IPS_1","pial_lgi",2.93988,0.1546,2.93458,0.21846,2.93988,0.1546,2.93458,0.21846,332
"LH_ContA_IPS_1","skin_thickness",7.28795,1.64676,6.93396,2.27141,7.28795,1.64676,6.93396,2.27141,332
"LH_ContA_IPS_1","skull_thickness",7.52993,1.58974,7.35462,2.00866,7.52993,1.58974,7.35462,2.00866,332
"LH_ContA_IPS_1","sulcal_depth",0.788,1.07609,0.83623,1.24742,1.07291,0.79131,0.961,1.02026,332
"LH_ContA_IPS_2","cortical_surface_area",0.75051,0.02551,0.74904,0.03228,0.75051,0.02551,0.74904,0.03228,332
"LH_ContA_IPS_2","cortical_thickness",2.42445,0.17034,2.43288,0.22685,2.42445,0.17034,2.43288,0.22685,332
"LH_ContA_IPS_2","csf_thickness",15.8372,3.22064,15.99926,4.67027,15.8372,3.22064,15.99926,4.67027,332
"LH_ContA_IPS_2","pial_lgi",2.9202,0.16125,2.9164,0.21774,2.9202,0.16125,2.9164,0.21774,332
"LH_ContA_IPS_2","skin_thickness",7.73244,1.78028,7.38838,2.41221,7.73244,1.78028,7.38838,2.41221,332
"LH_ContA_IPS_2","skull_thickness",7.93652,1.67667,7.74695,2.29678,7.93652,1.67667,7.74695,2.29678,332
"LH_ContA_IPS_2","sulcal_depth",5.73099,2.30203,5.80818,3.40675,5.75822,2.23282,5.80818,3.40675,332
"LH_ContA_IPS_3","cortical_surface_area",0.72516,0.03096,0.72405,0.04104,0.72516,0.03096,0.72405,0.04104,332
"LH_ContA_IPS_3","cortical_thickness",2.55247,0.21335,2.5606,0.29721,2.55247,0.21335,2.5606,0.29721,332
"LH_ContA_IPS_3","csf_thickness",7.52819,2.1702,7.41167,3.15796,7.52819,2.1702,7.41167,3.15796,332
"LH_ContA_IPS_3","pial_lgi",3.16145,0.15979,3.15589,0.20134,3.16145,0.15979,3.15589,0.20134,332
"LH_ContA_IPS_3","skin_thickness",7.53382,1.51996,7.3474,2.04683,7.53382,1.51996,7.3474,2.04683,332
