"parcel","variable","mean","std","median","iqr","mean_abs","std_abs","median_abs","iqr_abs","n_subjects"
"LH_ContA_Cingm_1","cortical_surface_area",0.66022,0.07615,0.6728,0.05516,0.66022,0.07615,0.6728,0.05516,590
"LH_ContA_Cingm_1","cortical_thickness",1.79121,0.35434,1.79307,0.43467,1.79121,0.35434,1.79307,0.43467,590
"LH_ContA_Cingm_1","csf_thickness",39.47252,2.02534,39.54799,2.63888,39.47252,2.02534,39.54799,2.63888,590
"LH_ContA_Cingm_1","pial_lgi",1.70178,0.20676,1.74837,0.17443,1.70178,0.20676,1.74837,0.17443,590
"LH_ContA_Cingm_1","skin_thickness",6.4171,1.59039,6.28027,1.95398,6.4171,1.59039,6.28027,1.95398,590
"LH_ContA_Cingm_1","skull_thickness",9.27952,2.90375,8.7972,2.14688,9.27952,2.90375,8.7972,2.14688,590
"LH_ContA_Cingm_1","sulcal_depth",0.11101,0.69927,0.14858,0.98867,0.57996,0.40546,0.53613,0.57641,590
"LH_ContA_IPS_1","cortical_surface_area",0.75103,0.02751,0.74891,0.03315,0.75103,0.02751,0.74891,0.03315,590
"LH_ContA_IPS_1","cortical_thickness",2.49433,0.18323,2.48978,0.24519,2.49433,0.18323,2.48978,0.24519,590
"LH_ContA_IPS_1","csf_thickness",10.69984,1.81891,10.81313,2.20335,10.69984,1.81891,10.81313,2.20335,590
"LH_ContA_IPS_1","pial_lgi",2.93727,0.15378,2.93377,0.21057,2.93727,0.15378,2.93377,0.21057,590
"LH_ContA_IPS_1","skin_thickness",7.62351,1.59848,7.3982,2.19298,7.62351,1.59848,7.3982,2.19298,590
"LH_ContA_IPS_1","skull_thickness",7.30388,1.45284,7.12063,1.85397,7.30388,1.45284,7.12063,1.85397,590
"LH_ContA_IPS_1","sulcal_depth",0.6702,1.12024,0.72706,1.19457,1.02736,0.80474,0.88461,1.00053,590
"LH_ContA_IPS_2","cortical_surface_area",0.7514,0.02499,0.74943,0.03122,0.7514,0.02499,0.74943,0.03122,590
"LH_ContA_IPS_2","cortical_thickness",2.41037,0.17097,2.4167,0.22146,2.41037,0.17097,2.4167,0.22146,590
"LH_ContA_IPS_2","csf_thickness",15.71463,3.29912,15.73963,4.88575,15.71463,3.29912,15.73963,4.88575,590
"LH_ContA_IPS_2","pial_lgi",2.91833,0.16214,2.91676,0.21618,2.91833,0.16214,2.91676,0.21618,590
"LH_ContA_IPS_2","skin_thickness",8.04563,1.70615,7.82855,2.37,8.04563,1.70615,7.82855,2.37,590
"LH_ContA_IPS_2","skull_thickness",7.69032,1.54476,7.52518,2.05202,7.69032,1.54476,7.52518,2.05202,590
"LH_ContA_IPS_2","sulcal_depth",5.44711,2.40921,5.55274,3.44556,5.50075,2.28387,5.55274,3.44556,590
"LH_ContA_IPS_3","cortical_surface_area",0.72581,0.03093,0.7255,0.04072,0.72581,0.03093,0.7255,0.04072,590
"LH_ContA_IPS_3","cortical_thickness",2.52265,0.20962,2.52066,0.28297,2.52265,0.20962,2.52066,0.28297,590
"LH_ContA_IPS_3","csf_thickness",7.67746,2.16044,7.50721,3.11667,7.67746,2.16044,7.50721,3.11667,590
"LH_ContA_IPS_3","pial_lgi",3.15823,0.15567,3.15145,0.19443,3.15823,0.15567,3.15145,0.19443,590
"LH_ContA_IPS_3","skin_thickness",7.905,1.53472,7.75267,2.11205,7.905,1.53472,7.75267,2.11205,590
"LH_ContA_IPS_3","skull_thickness",6.78554,1.47751,6.63178,1.92491,6.78554,1.47751,6.63178,1.92491,590
"LH_ContA_IPS_3","sulcal_depth",-3.06453,1.72785,-3.32308,2.21364,3.19342,1.47564,3.33818,2.17764,590
"LH_ContA_IPS_4","cortical_surface_area",0.73835,0.02039,0.73776,0.0267,0.73835,0.02039,0.73776,0.0267,590
"LH_ContA_IPS_4","cortical_thickness",2.405,0.18146,2.40427,0.25251,2.405,0.18146,2.40427,0.25251,590
"LH_ContA_IPS_4","csf_thickness",12.29434,2.53691,12.06398,3.81146,12.29434,2.53691,12.06398,3.81146,590
"LH_ContA_IPS_4","pial_lgi",3.03381,0.15927,3.03768,0.20993,3.03381,0.15927,3.03768,0.20993,590
"LH_ContA_IPS_4","skin_thickness",8.34712,1.69312,8.14483,2.34598,8.34712,1.69312,8.14483,2.34598,590
"LH_ContA_IPS_4","skull_thickness",7.51903,1.57244,7.34718,2.05759,7.51903,1.57244,7.34718,2.05759,590
"LH_ContA_IPS_4","sulcal_depth",1.56409,1.56173,1.45436,2.08032,1.77694,1.31401,1.52427,1.83395,590
"LH_ContA_IPS_5","cortical_surface_area",0.74629,0.02698,0.74349,0.03773,0.74629,0.02698,0.74349,0.03773,590
"LH_ContA_IPS_5","cortical_thickness",2.40935,0.20698,2.40699,0.2825,2.40935,0.20698,2.40699,0.2825,590
"LH_ContA_IPS_5","csf_thickness",13.72577,2.84641,13.93247,3.81531,13.72577,2.84641,13.93247,3.81531,590
"LH_ContA_IPS_5","pial_lgi",3.13538,0.16006,3.13622,0.20401,3.13538,0.16006,3.13622,0.20401,590
"LH_ContA_IPS_5","skin_thickness",8.22475,1.53889,8.0229,2.11253,8.22475,1.53889,8.0229,2.11253,590
"LH_ContA_IPS_5","skull_thickness",7.25307,1.53321,7.08766,1.98164,7.25307,1.53321,7.08766,1.98164,590
"LH_ContA_IPS_5","sulcal_depth",2.48008,2.33472,2.69469,2.84624,2.8735,1.82788,2.78921,2.53599,590
"LH_ContA_IPS_6","cortical_surface_area",0.76206,0.02137,0.76115,0.02734,0.76206,0.02137,0.76115,0.02734,590
"LH_ContA_IPS_6","cortical_thickness",2.3189,0.1945,2.31507,0.25616,2.3189,0.1945,2.31507,0.25616,590
"LH_ContA_IPS_6","csf_thickness",20.35151,2.67322,20.59455,3.4628,20.35151,2.67322,20.59455,3.4628,590
"LH_ContA_IPS_6","pial_lgi",3.10736,0.1615,3.11386,0.21514,3.10736,0.1615,3.11386,0.21514,590
"LH_ContA_IPS_6","skin_thickness",8.58882,1.59166,8.43885,2.26565,8.58882,1.59166,8.43885,2.26565,590
"LH_ContA_IPS_6","skull_thickness",7.77539,1.56863,7.57785,2.02753,7.77539,1.56863,7.57785,2.02753,590
"LH_ContA_IPS_6","sulcal_depth",9.03362,1.79084,9.49009,1.7148,9.04656,1.72418,9.49009,1.7148,590
"LH_ContA_IPS_7","cortical_surface_area",0.75093,0.0261,0.75123,0.03438,0.75093,0.0261,0.75123,0.03438,590
"LH_ContA_IPS_7","cortical_thickness",2.34568,0.19183,2.34968,0.2633,2.34568,0.19183,2.34968,0.2633,590
"LH_ContA_IPS_7","csf_thickness",17.56841,4.03275,18.20308,6.10764,17.56841,4.03275,18.20308,6.10764,590
"LH_ContA_IPS_7","pial_lgi",3.13538,0.15962,3.13512,0.20985,3.13538,0.15962,3.13512,0.20985,590
"LH_ContA_IPS_7","skin_thickness",8.27244,1.52416,8.09096,2.10467,8.27244,1.52416,8.09096,2.10467,590
"LH_ContA_IPS_7","skull_thickness",7.51854,1.58569,7.30329,2.05431,7.51854,1.58569,7.30329,2.05431,590
"LH_ContA_IPS_7","sulcal_depth",5.93129,3.11374,6.57701,4.88749,5.98776,3.00351,6.57701,4.88749,590
"LH_ContA_IPS_8","cortical_surface_area",0.74439,0.02651,0.7434,0.03453,0.74439,0.02651,0.7434,0.03453,590
"LH_ContA_IPS_8","cortical_thickness",2.28969,0.19008,2.28299,0.24174,2.28969,0.19008,2.28299,0.24174,590
"LH_ContA_IPS_8","csf_thickness",14.32855,3.7603,14.10016,5.49199,14.32855,3.7603,14.10016,5.49199,590
"LH_ContA_IPS_8","pial_lgi",2.97152,0.17212,2.97063,0.22845,2.97152,0.17212,2.97063,0.22845,590
"LH_ContA_IPS_8","skin_thickness",8.71117,1.75367,8.45258,2.50722,8.71117,1.75367,8.45258,2.50722,590
"LH_ContA_IPS_8","skull_thickness",8.03792,1.6399,7.86538,2.11632,8.03792,1.6399,7.86538,2.11632,590
"LH_ContA_IPS_8","sulcal_depth",3.71227,2.81971,3.56106,4.07972,3.89216,2.56524,3.56106,3.94364,590
"LH_ContA_PFCd_1","cortical_surface_area",0.70652,0.03074,0.70792,0.03714,0.70652,0.03074,0.70792,0.03714,590
"LH_ContA_PFCd_1","cortical_thickness",2.73116,0.22433,2.72249,0.28961,2.73116,0.22433,2.72249,0.28961,590
"LH_ContA_PFCd_1","csf_thickness",10.59208,1.99755,10.60297,2.42378,10.59208,1.99755,10.60297,2.42378,590
"LH_ContA_PFCd_1","pial_lgi",2.76839,0.16603,2.76722,0.23046,2.76839,0.16603,2.76722,0.23046,590
"LH_ContA_PFCd_1","skin_thickness",6.95386,1.34271,6.80927,1.85911,6.95386,1.34271,6.80927,1.85911,590
"LH_ContA_PFCd_1","skull_thickness",6.97061,1.34051,6.79777,1.77386,6.97061,1.34051,6.79777,1.77386,590
"LH_ContA_PFCd_1","sulcal_depth",-0.18354,0.81499,-0.28077,0.88352,0.62305,0.55598,0.4937,0.60351,590
"LH_ContA_PFCd_2","cortical_surface_area",0.75213,0.02493,0.75461,0.02733,0.75213,0.02493,0.75461,0.02733,590
"LH_ContA_PFCd_2","cortical_thickness",2.55579,0.19396,2.5564,0.26681,2.55579,0.19396,2.5564,0.26681,590
"LH_ContA_PFCd_2","csf_thickness",14.37914,2.75878,14.61624,3.50869,14.37914,2.75878,14.61624,3.50869,590
"LH_ContA_PFCd_2","pial_lgi",2.52294,0.15941,2.51546,0.22591,2.52294,0.15941,2.51546,0.22591,590
"LH_ContA_PFCd_2","skin_thickness",6.9201,1.34166,6.78914,1.85369,6.9201,1.34166,6.78914,1.85369,590
"LH_ContA_PFCd_2","skull_thickness",7.16063,1.27029,7.02919,1.59697,7.16063,1.27029,7.02919,1.59697,590
"LH_ContA_PFCd_2","sulcal_depth",4.42131,1.87461,4.97475,2.39418,4.46206,1.77527,4.97475,2.39418,590
"LH_ContA_PFCl_1","cortical_surface_area",0.74711,0.01991,0.74754,0.02413,0.74711,0.01991,0.74754,0.02413,590
"LH_ContA_PFCl_1","cortical_thickness",2.42919,0.18243,2.42531,0.25687,2.42919,0.18243,2.42531,0.25687,590
"LH_ContA_PFCl_1","csf_thickness",11.47824,2.07044,11.41803,2.78633,11.47824,2.07044,11.41803,2.78633,590
"LH_ContA_PFCl_1","pial_lgi",3.47595,0.2391,3.46639,0.32091,3.47595,0.2391,3.46639,0.32091,590
"LH_ContA_PFCl_1","skin_thickness",6.82764,1.64747,6.63041,2.08011,6.82764,1.64747,6.63041,2.08011,590
"LH_ContA_PFCl_1","skull_thickness",5.93274,1.18187,5.78348,1.61384,5.93274,1.18187,5.78348,1.61384,590
"LH_ContA_PFCl_1","sulcal_depth",1.58962,1.47609,1.78752,2.18108,1.8503,1.13164,1.83207,1.78973,590
"LH_ContA_PFCl_2","cortical_surface_area",0.72604,0.02479,0.72618,0.03174,0.72604,0.02479,0.72618,0.03174,590
"LH_ContA_PFCl_2","cortical_thickness",2.48216,0.20885,2.47746,0.28172,2.48216,0.20885,2.47746,0.28172,590
"LH_ContA_PFCl_2","csf_thickness",6.59259,1.73858,6.2776,2.16137,6.59259,1.73858,6.2776,2.16137,590
"LH_ContA_PFCl_2","pial_lgi",3.01198,0.19618,3.00929,0.25567,3.01198,0.19618,3.00929,0.25567,590
"LH_ContA_PFCl_2","skin_thickness",5.84254,1.16003,5.68872,1.56109,5.84254,1.16003,5.68872,1.56109,590
"LH_ContA_PFCl_2","skull_thickness",7.04888,1.33554,6.90022,1.85055,7.04888,1.33554,6.90022,1.85055,590
"LH_ContA_PFCl_2","sulcal_depth",-1.25594,1.45362,-1.59913,1.67378,1.71013,0.87381,1.79498,1.31572,590
"LH_ContA_PFCl_3","cortical_surface_area",0.70953,0.02664,0.71017,0.03271,0.70953,0.02664,0.71017,0.03271,590
"LH_ContA_PFCl_3","cortical_thickness",2.71491,0.21894,2.715,0.30309,2.71491,0.21894,2.715,0.30309,590
